Constituency Number,Constituency Name,District,Candidate Name,Party,Votes,EVM Round Status,Image URL,Last Updated
214,THOOTHUKKUDI,THOOTHUKUDI,PRASANNA KUMAR M.,Makkal Nalvaazhvuk Katchi, 69 ,Status of EVM Round:14/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PRASA-2026-20260406110422.jpg,02:27 PM On 04/05/2026
214,THOOTHUKKUDI,THOOTHUKUDI,BABU P.,Independent, 59 ,Status of EVM Round:14/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BABUP-2026-20260406063301.jpg,02:27 PM On 04/05/2026
214,THOOTHUKKUDI,THOOTHUKUDI,MUNEESWARA MOORTHY S.,Independent, 55 ,Status of EVM Round:14/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MUNEE-2026-20260406073234.jpg,02:27 PM On 04/05/2026
214,THOOTHUKKUDI,THOOTHUKUDI,MARUTHU PANDIAN P.,Independent, 47 ,Status of EVM Round:14/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MARUT-2026-20260404050232.jpg,02:27 PM On 04/05/2026
214,THOOTHUKKUDI,THOOTHUKUDI,NOTA,None of the Above, 450 ,Status of EVM Round:14/26,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,MARKANDAYAN G V,Dravida Munnetra Kazhagam," 34,833 ",Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/GVM-2026-20260409040434.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,P. KASIRAM,Tamilaga Vettri Kazhagam," 30,263 ",Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PKAS-2026-20260404081346.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,R. SATHYA,All India Anna Dravida Munnetra Kazhagam," 29,140 ",Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RSAT-2026-20260404055853.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,BALAJI RAMACHANDRAN,Naam Tamilar Katchi," 6,408 ",Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BALAJ-2026-20260330020712.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,P.MADASAMY,Puthiya Tamilagam," 1,002 ",Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PMAD-2026-20260406065506.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,C. PONPANDI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam, 949 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/2026/ac/E32/S22/213/1775232466ANNAPMTjpg.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,P. RAJASEKARAN,Independent, 301 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAJAS-2026-20260402041911.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,G. MUNIYASAMY,Independent, 115 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/GMUN-2026-20260404063222.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,M. PONNUSAMY,Independent, 111 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MPON-2026-20260404075928.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,K. AJAY KUMAR,Independent, 106 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KAJA-2026-20260406080222.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,R. PERUMAL,Naam Indiar Party, 92 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RPER-2026-20260330051019.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,P. JEYAKUMAR,Independent, 88 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PJEY-2026-20260406071256.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,V. GANESAN,Independent, 58 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VGAN-2026-20260404074909.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,A. PRABAHAR,Independent, 55 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/APRA-2026-20260409034543.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,A. PATTURAJ,Independent, 43 ,Status of EVM Round:12/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/APAT-2026-20260402021842.jpg,02:27 PM On 04/05/2026
213,VILATHIKULAM,THOOTHUKUDI,NOTA,None of the Above, 424 ,Status of EVM Round:12/20,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam," 39,042 ",Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KARTH-2026-20260410113930.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam," 35,046 ",Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAMAC-2026-20260410113759.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SETHUPATHY. S,All India Anna Dravida Munnetra Kazhagam," 20,639 ",Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SETHU-2026-20260410113405.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,MANIMARAN. G,Naam Tamilar Katchi," 4,903 ",Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MANIM-2026-20260410113245.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,RAGUPATHI. K,Puthiya Tamilagam, 311 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAGUP-2026-20260410113639.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,DHARMARAJ. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam, 273 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/DHARM-2026-20260410114057.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SURESHKUMAR. K,Independent, 251 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SURES-2026-20260410113842.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SUNDARAMOORTHI. S,Independent, 172 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SUNDA-2026-20260410114125.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,ARUMUGAM. V,Independent, 166 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ARUMU-2026-20260410114310.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SENTHILKUMAR. S,Independent, 142 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SENTH-2026-20260410113344.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,ADVOCATE SADHURAGIRI. M,Independent, 123 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ADVOC-2026-20260410113903.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,GANESAN. V,Puthiya Makkal Tamil Desam Katchi, 109 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/GANES-2026-20260410113607.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SANJAY GANDHI.  V,Desa Makkal Munnetrak Kazhagam, 90 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SANJA-2026-20260410113312.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,RAMAKRISHNAN. S,Independent, 90 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SRAM-2026-20260406032456.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,ELANGO. G,Ezhuchi Tamilargal Munnetra Kazhagam, 88 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ELANG-2026-20260410113540.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,ANANDHAN. A,Independent, 61 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ANAND-2026-20260410113515.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,MUNIYANDI. M,Independent, 44 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MUNIY-2026-20260410114155.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,VEERARAJ. R,Independent, 39 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VEERA-2026-20260410114242.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,CHINNASAMY. G,Independent, 37 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/CHINN-2026-20260410113441.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,SUNDARAMAHALINGAM. A,Independent, 37 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SUNDA-2026-20260410113737.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,PALANIKUMAR. M,Independent, 32 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PALAN-2026-20260410114015.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,RAMAMOORTHY. G,Independent, 27 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAMAM-2026-20260410114332.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,MARIVEL. K,Independent, 26 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MARIV-2026-20260410114215.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,VENKATESAN. P.S,Independent, 25 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VENKA-2026-20260410113823.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,KARTHIK. M,Independent, 24 ,Status of EVM Round:11/20,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KARTH-2026-20260410113955.jpg,02:27 PM On 04/05/2026
207,ARUPPUKKOTTAI,VIRUDHUNAGAR,NOTA,None of the Above, 453 ,Status of EVM Round:11/20,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam," 44,670 ",Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SPS-2026-20260406022613.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,SARAVANAN. G,Tamilaga Vettri Kazhagam," 44,018 ",Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SARAV-2026-20260406114528.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,OORVASI AMIRTHARAJ. S,Indian National Congress," 29,746 ",Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/OORVA-2026-20260406013412.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,SHUNMUGASUNDARAM. S,Naam Tamilar Katchi," 10,018 ",Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SSHU-2026-20260330022505.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,MUTHURAMALINGAM. S,All India Forward Bloc," 2,071 ",Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MUTHU-2026-20260402023114.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,RAJASUTHAN. N,Puthiya Tamilagam, 945 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJAS-2026-20260406015248.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,SUDALAIMANI. A,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi, 238 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SUDAL-2026-20260402121438.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,BISHOP DR GODFREY NOBLE,Independent, 199 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BISHO-2026-20260406033856.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,SUBRAMANIAN. M,Puthiya Makkal Tamil Desam Katchi, 168 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SUBRA-2026-20260330050631.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,VASANTH FERNANDO. T,Independent, 162 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VASAN-2026-20260406025823.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,MURUGAN. S,Independent, 145 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MURUG-2026-20260406035405.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,VIYANARASU. A,Tamizhaga Vaazhvurimai Katchi, 122 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VIYAN-2026-20260406123131.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,ARUNACHALAM. C,Independent, 116 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/ARUNA-2026-20260404010637.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,MUNDASAMY.  K,Vishwa Tamil Kazhagam, 92 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MUNDA-2026-20260402024838.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,BHARATH. M,Naam Indiar Party, 72 ,Status of EVM Round:16/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BHARA-2026-20260330043859.jpg,02:27 PM On 04/05/2026
216,SRIVAIKUNTAM,THOOTHUKUDI,NOTA,None of the Above, 444 ,Status of EVM Round:16/21,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam," 51,646 ",Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ANITH-2026-20260409070357.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,J. MURUGAN,Tamilaga Vettri Kazhagam," 44,066 ",Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MURUG-2026-20260330074517.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,K R M RADHAKRISHNAN,Bharatiya Janata Party," 19,842 ",Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KRMRA-2026-20260409065934.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,OPHILIYA,Naam Tamilar Katchi," 6,657 ",Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/OPHIL-2026-20260330070936.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,GOPALAKRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam, 256 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/2026/ac/E32/S22/215/1775292811WhatsAppImage2026-04-04at115334AM.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,MAHARAJAN. M,Puthiya Makkal Tamil Desam Katchi, 215 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MAHAR-2026-20260409070444.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,RASIK MUSSAMMIL. K,Tamizhaga Vaazhvurimai Katchi, 178 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RASIK-2026-20260404061644.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,MEERA SAHIB,Independent, 142 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MEERA-2026-20260404070640.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,SHAIK ABDUL KADER. P.S.J,Independent, 112 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SHAIK-2026-20260409070430.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,VENKATESH PERUMAL. S,Independent, 95 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VENKA-2026-20260404062806.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,VEERAPPA. T,Independent, 73 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VEERA-2026-20260404053745.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,PACKIA SAM. T,Naam Indiar Party, 69 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PACKI-2026-20260404063745.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,RAJALINGAM. M,Independent, 42 ,Status of EVM Round:15/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJAL-2026-20260404055747.jpg,02:27 PM On 04/05/2026
215,TIRUCHENDUR,THOOTHUKUDI,NOTA,None of the Above, 474 ,Status of EVM Round:15/22,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,RAJENDRAN. T. M,Dravida Munnetra Kazhagam," 30,857 ",Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJEN-2026-20260406031111.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam," 28,945 ",Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/CKRI-2026-20260409052857.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,ABDUL JALEEL. R. K,Tamilaga Vettri Kazhagam," 19,808 ",Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ABDUL-2026-20260409052732.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,ABUBACKER SIDDHEEQ,Naam Tamilar Katchi," 3,752 ",Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ABUBA-2026-20260409052648.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,KAVITHA. R,Puthiya Tamilagam, 481 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KAVIT-2026-20260409052956.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,ESAKKI PANDI. K,Independent, 219 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ESAKK-2026-20260409053023.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,MURUGAN. P,Independent, 207 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MURUG-2026-20260409061549.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,BARISHA BANU. M,Independent, 189 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BARIS-2026-20260406084234.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,T. MAHESHKUMAR,Bahujan Samaj Party, 170 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/TMAH-2026-20260409052836.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,GANESAN. M,Independent, 157 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/GANES-2026-20260409052717.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,SHAHIN FATHIMA. A,Tamizhaga Vaazhvurimai Katchi, 145 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SHAHI-2026-20260409052936.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,SEENIVASAN. S,Independent, 131 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SEENI-2026-20260406051132.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,NAGARAJAN. L,Independent, 110 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/NAGAR-2026-20260406053201.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,PARTHIPAN. V,Independent, 87 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PARTH-2026-20260409052751.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,RAJAN. B. S,Aanaithinthiya Jananayaka Pathukappu Kazhagam, 78 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJAN-2026-20260406043303.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,LAKSHMI. A,Samata Party, 69 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/LAKSH-2026-20260409052621.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,RAJAMARAVAN. S,Independent, 56 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJAM-2026-20260406060722.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,ESAKKI. K,Independent, 49 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/ESAKK-2026-20260406054855.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,VENKATESH. P,Independent, 43 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VENKA-2026-20260409052701.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,M. ARUMUGASAMY,Independent, 28 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MARUM-2026-20260407063147.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,S. MURUGANANTHAM,Independent, 28 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SMUR-2026-20260409052917.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,SURESHKUMAR. S,Naam Indiar Party, 25 ,Status of EVM Round:10/26,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SURES-2026-20260409052635.jpg,02:27 PM On 04/05/2026
221,KADAYANALLUR,TENKASI,NOTA,None of the Above, 197 ,Status of EVM Round:10/26,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,KARUNANITHI.K,Dravida Munnetra Kazhagam," 26,499 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KARUN-2026-20260406040538.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,KADAMBUR RAJU.C,All India Anna Dravida Munnetra Kazhagam," 23,985 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KADAM-2026-20260409101902.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam," 21,124 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SBAL-2026-20260406044712.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,PANDI.P,Naam Tamilar Katchi," 4,792 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PPOO-2026-20260330021806.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,ATHIKUMAR KUDUMBAR.B,Independent," 2,259 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BATH-2026-20260406042454.jpg,02:27 PM On 04/05/2026
218,KOVILPATTI,THOOTHUKUDI,POUNDURAI.K,Independent, 256 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KPOU-2026-20260406082429.jpg,02:27 PM On 04/05/2026
